date,platform,total_comments,insecurity_count,insecurity_ratio,negative_count,negative_ratio,失业担忧_count,替代焦虑_count,技能过时_count,职业焦虑_count,未来担忧_count,avg_likes,unique_users
2025-09-26,zhihu,15,2,0.13333333333333333,0,0.0,1,1,0,0,0,1.6666666666666667,14.0
2025-09-27,bili,43,0,0.0,0,0.0,0,0,0,0,0,18.41860465116279,34.0
2025-09-27,zhihu,16,0,0.0,0,0.0,0,0,0,0,0,1.8125,14.0
2025-09-28,bili,37,0,0.0,1,0.02702702702702703,0,0,0,0,0,10.135135135135135,33.0
2025-09-28,zhihu,24,0,0.0,1,0.041666666666666664,0,0,0,0,0,2.1666666666666665,22.0
2025-09-29,bili,16,0,0.0,0,0.0,0,0,0,0,0,3.1875,14.0
2025-09-29,zhihu,15,0,0.0,0,0.0,0,0,0,0,0,0.6666666666666666,14.0
2025-09-30,bili,24,0,0.0,0,0.0,0,0,0,0,0,1.7083333333333333,24.0
2025-09-30,zhihu,18,1,0.05555555555555555,0,0.0,0,1,0,0,0,0.8888888888888888,9.0
2025-10-01,bili,14,0,0.0,0,0.0,0,0,0,0,0,22.285714285714285,12.0
2025-10-01,zhihu,5,0,0.0,0,0.0,0,0,0,0,0,1.2,4.0
2025-10-02,bili,15,0,0.0,0,0.0,0,0,0,0,0,1.2,14.0
2025-10-02,zhihu,13,0,0.0,1,0.07692307692307693,0,0,0,0,0,2.923076923076923,10.0
2025-10-03,bili,12,0,0.0,0,0.0,0,0,0,0,0,1.1666666666666667,10.0
2025-10-03,zhihu,36,0,0.0,0,0.0,0,0,0,0,0,0.5833333333333334,15.0
2025-10-04,bili,15,0,0.0,0,0.0,0,0,0,0,0,1.8666666666666667,15.0
2025-10-04,zhihu,42,1,0.023809523809523808,1,0.023809523809523808,0,1,0,0,0,5.023809523809524,24.0
2025-10-05,bili,6,0,0.0,0,0.0,0,0,0,0,0,0.5,6.0
2025-10-05,zhihu,36,1,0.027777777777777776,0,0.0,0,0,1,0,0,1.1666666666666667,29.0
2025-10-06,bili,6,0,0.0,0,0.0,0,0,0,0,0,4.5,6.0
2025-10-06,zhihu,12,0,0.0,0,0.0,0,0,0,0,0,2.8333333333333335,12.0
2025-10-07,bili,17,0,0.0,1,0.058823529411764705,0,0,0,0,0,2.1176470588235294,16.0
2025-10-07,zhihu,8,0,0.0,0,0.0,0,0,0,0,0,0.5,8.0
2025-10-08,bili,108,1,0.009259259259259259,1,0.009259259259259259,0,0,0,1,0,54.675925925925924,93.0
2025-10-08,zhihu,21,1,0.047619047619047616,0,0.0,1,1,0,0,0,1.0476190476190477,17.0
2025-10-09,bili,57,0,0.0,2,0.03508771929824561,0,0,0,0,0,36.50877192982456,55.0
2025-10-09,zhihu,128,2,0.015625,2,0.015625,0,2,0,0,0,3.109375,81.0
2025-10-10,bili,22,0,0.0,1,0.045454545454545456,0,0,0,0,0,4.0,22.0
2025-10-10,zhihu,63,1,0.015873015873015872,3,0.047619047619047616,1,1,0,0,0,0.5238095238095238,49.0
2025-10-11,bili,16,0,0.0,0,0.0,0,0,0,0,0,7.6875,16.0
2025-10-11,zhihu,25,0,0.0,3,0.12,0,0,0,0,0,0.52,19.0
2025-10-12,bili,11,0,0.0,1,0.09090909090909091,0,0,0,0,0,4.0,11.0
2025-10-12,zhihu,16,0,0.0,1,0.0625,0,0,0,0,0,0.3125,14.0
2025-10-13,bili,9,0,0.0,0,0.0,0,0,0,0,0,1.6666666666666667,9.0
2025-10-13,zhihu,20,0,0.0,0,0.0,0,0,0,0,0,0.45,16.0
2025-10-14,bili,11,0,0.0,0,0.0,0,0,0,0,0,7.7272727272727275,11.0
2025-10-14,zhihu,21,0,0.0,1,0.047619047619047616,0,0,0,0,0,23.80952380952381,20.0
2025-10-15,bili,10,0,0.0,0,0.0,0,0,0,0,0,0.9,10.0
2025-10-15,zhihu,47,0,0.0,1,0.02127659574468085,0,0,0,0,0,8.404255319148936,37.0
2025-10-16,bili,14,0,0.0,0,0.0,0,0,0,0,0,6.357142857142857,12.0
2025-10-16,zhihu,12,0,0.0,0,0.0,0,0,0,0,0,0.9166666666666666,10.0
2025-10-17,bili,32,0,0.0,1,0.03125,0,0,0,0,0,2.375,27.0
2025-10-17,zhihu,14,0,0.0,0,0.0,0,0,0,0,0,0.21428571428571427,10.0
2025-10-18,bili,24,0,0.0,0,0.0,0,0,0,0,0,1.7083333333333333,20.0
